slug	class	index	cites_deleted
absence-of-artifact-is-not-design-abandoned	C	loaded	no
agent-local-skills-scoping	B	loaded	no
ambient-gc-rig-phantom-test-failures	D	loaded	no
anchor-to-molecule-steps-reverse-walk	B	loaded	yes
anchor-unassigned-is-not-idle	B	loaded	yes
append-notes-empty-arg-is-silent-noop	A	loaded	no
authenticate-inline-directive-via-mayor-peek	C	loaded	no
background-sleep-poll-misreads-elapsed-time	A	loaded	yes
bash-sandbox-silent-failure-empty-output	A	dropped	no
bd-binary-behind-db-silent-no-work	A	loaded	no
bd-close-actor-identity-mismatch	A	loaded	no
bd-create-title-cap-and-validation-exit	A	loaded	no
bd-dependency-edge-json-shape-show-vs-list	A	loaded	yes
bd-json-metadata-stored-as-string	A	loaded	yes
bd-list-cannot-page-read-it-as-a-stream	A	loaded	no
bd-list-clientside-filter-needs-limit-zero	A	dropped	no
bd-list-id-silently-drops-missing-ids	A	loaded	no
bd-list-repeated-status-flag-drops-earlier-values	A	loaded	no
bd-metadata-field-query-defaults-to-open-only	A	loaded	no
bd-notes-flag-replaces-not-appends	A	loaded	no
bd-ready-parent-child-blocked-cascade	A	loaded	yes
bd-show-json-invalid-breaks-done-gates	A	loaded	no
bd-show-returns-object-when-nothing-resolves	A	loaded	no
bd-status-enum-no-escalated	A	loaded	no
bead-cited-prerequisite-may-be-unmerged	C	loaded	no
bead-metadata-absent-vs-empty-tristate	A	loaded	yes
bead-taxonomy-absorb-vs-split-a-finding	C	loaded	yes
beads-schema-migration-write-block	D	loaded	no
blocks-edge-on-an-anchor-is-a-merge-hold	B	loaded	no
cascading-rereviews-file-cumulative-rework-children	B	loaded	no
check-for-an-open-bead-owning-a-doc-code-divergence	C	dropped	no
check-set-heal-visibility-test-is-slow-not-hung	D	dropped	yes
city-order-mayor-bead-ledger	B	loaded	no
clean-merge-is-not-green-merge-probe-it	C	dropped	no
clear-a-timing-out-suite-with-a-paired-head-control	C	dropped	yes
close-the-claimed-bead-not-gc-trigger-bead-id	B	dropped	yes
control-run-failure-can-mean-stale-base	C	dropped	no
convoy-graduation-can-be-vacuously-complete	B	loaded	no
convoy-list-city-wide-rig-scoping	B	loaded	no
cooldown-orders-fire-slower-than-declared	B	loaded	no
cross-rig-bead-queries	A	loaded	no
date-empty-string-returns-midnight	A	dropped	no
dating-a-bead-metadata-change	A	loaded	no
dedup-marker-must-invalidate-on-falsified-observation	C	dropped	yes
diagnose-stranded-bead-via-distinct-history-states	A	dropped	no
diff-scoped-lint-control-needs-the-old-base	C	dropped	no
disk-full-kills-dolt-false-empty-no-work	D	loaded	yes
dispose-timeout-writes-already-landed	B	dropped	no
doc-keeper-audit-is-self-finalizing-workflow	B	loaded	yes
doc-keeper-audit-same-line-overlap	B	loaded	yes
doc-keeper-drift-audit-exclusions	B	loaded	yes
doc-keeper-drift-audit-read-origin-main	C	loaded	yes
doc-relocation-rework-pure-git-mv	C	loaded	no
doc-rewrap-breaks-line-anchored-test-grep	C	dropped	no
doc-update-source-entry-location	B	loaded	yes
done-sequence-wake-nudge-fails-on-stale-name-registration	B	loaded	no
dont-edit-files-under-a-running-background-test	C	loaded	no
dont-move-a-head-under-a-live-review	C	dropped	yes
double-dispatch-repool-preserve-predecessor-work	B	loaded	yes
escalate-key-must-reuse-in-flight-situation-key	B	dropped	no
establish-bd-behavior-running-binary-not-pinned-module	C	loaded	no
exec-order-single-flight-and-rig-scope	B	loaded	no
fix-may-belong-in-the-town-repo	B	dropped	no
fix-target-bead-is-impl-not-review	B	loaded	no
foreground-bound-above-harness-ceiling-is-a-lie	A	loaded	no
formula-check-loop-exec-contract	B	loaded	no
formula-default-not-materialized-on-root-only-wisps	B	loaded	no
formula-extends-step-merge-no-removal	B	loaded	no
formula-molecule-rendering-surfaces	B	loaded	no
formula-order-pool-wiring	B	loaded	yes
formula-reachable-only-at-its-packs-scope	B	loaded	no
formula-vars-with-load-bearing-empty	B	loaded	yes
gascity-agents-doc-source-of-truth	B	loaded	yes
gate-marker-fixable-does-not-mean-findings	B	loaded	yes
gc-bd-rejects-force-use-bare-bd	A	loaded	no
gc-command-surface-is-tools-scripts	B	loaded	no
gc-doctor-does-bound-pack-checks	B	dropped	no
gc-doctor-json-invalid-is-downstream-backslash-collapse	B	dropped	no
gc-events-ring-buffer-and-watch-filter	B	loaded	no
gc-hook-readonly-probe-pool-predicate	B	loaded	no
gc-prime-ignores-rig-scope	B	loaded	no
gc-status-pool-member-stopped-is-not-idle	B	loaded	yes
gc-toolkit-fix-may-belong-in-gascity-rig	B	dropped	no
gc-toolkit-go-test-edquot-shm-workaround	D	dropped	no
gc-toolkit-push-requires-verified-signature	D	loaded	no
gh-api-paginate-emits-one-array-per-page	A	loaded	no
gh-pr-checks-vs-statuscheckrollup	A	dropped	yes
git-checkout-ref-pathspec-clobbers-worktree	A	loaded	no
git-editor-true-silently-defeats-rebase-reword	A	loaded	no
git-hooks-probe-core-hookspath	B	loaded	no
git-rev-parse-echoes-unresolved-ref	A	dropped	no
gitattributes-nodiff-masks-diff-check	B	dropped	no
go-test-run-substring-selects-unrelated-tests	A	loaded	no
graphv2-closed-step-reopened-husk	B	loaded	yes
graphv2-step-exit-close-vs-drain-vs-forceclose	B	dropped	no
graphv2-step-state-recovery-from-prior-scratchpad	B	dropped	yes
handoff-consumed-despite-restamped-route	B	loaded	no
here-string-loop-false-empty-queue	A	dropped	yes
hermetic-stub-must-refuse-what-the-tool-refuses	C	loaded	no
hold-whose-release-nothing-performs	C	loaded	yes
husk-reoffer-sweep-all-roots-at-once	B	dropped	yes
ifs-tab-collapses-empty-fields	A	dropped	no
isolate-flaky-assertion-standalone-to-prove-context-not-intrinsic	C	dropped	no
joining-two-live-listings-manufactures-exceptions	C	loaded	no
jq-argjson-max-arg-strlen-skips-busiest-store	A	dropped	yes
jq-index-arg-evaluated-against-the-array	A	loaded	no
jq-pipe-binds-looser-than-comma-in-array	A	dropped	no
landed-is-not-live-rig-checkout-lag	B	loaded	no
live-claude-sessions-from-proc-environ	A	loaded	no
mail-beads-are-wisps-invisible-to-bd-list	B	loaded	no
measure-the-population-a-fail-closed-rule-would-refuse	C	loaded	no
merge-ordering-fix-bead-not-commit-fixable	B	loaded	yes
metadata-writes-bypass-bd-claim-guard	A	loaded	no
mirrored-filter-needs-a-guard-for-a-wider-input-set	C	loaded	yes
mol-polecat-work-graphv2-inline-execution	B	loaded	yes
mol-polecat-work-reoffer-can-be-fresh-work	B	loaded	no
mol-polecat-work-reoffer-can-be-supersede-redispatch	B	loaded	yes
molecule-steps-yours-work-bead-someone-elses	B	loaded	yes
mutate-the-guard-a-fixture-trigger-can-mask-the-bug	C	loaded	no
order-exec-env-has-no-city	B	loaded	no
order-run-history-is-wisps-and-needs-limit-zero	B	loaded	no
origin-main-moves-under-you-shared-worktree-fetch	A	dropped	no
orphaned-graphv2-repour-cleanup	B	loaded	yes
override-base-prompt-via-append-fragment	B	loaded	yes
pack-claude-hook-injection	B	loaded	no
