Sittings — 88 running · 46 closed recently
● still running · AGE is time since it started, or since it ended · OUTCOME is what a closed sitting closed on
  ID         RIG          SUBJECT     AGE    OUTCOME    HEADLINE
● tk-s9hkev  gc-toolkit   tk-497kyg   13d    —          Adopt Option A (visit covers subject AND stall_root; unify one predicate) or redirect to B (sub…
● tk-0f281b  gc-toolkit   tk-hndzov   13d    —          CI tests red on main and every PR since #662 gated them off-host; same 3 files fail. Accept to …
● tk-bxub22  gc-toolkit   tk-vzz1ya   13d    —          visit: tk-vzz1ya — Observation: tk-vzz1ya (task, status=open) names dead owner gc-toolkit--gc-t…
● tk-zppyv1  gc-toolkit   tk-4juzgd   12d    —          Accept scoping as a read-only metrics report over existing bead metadata; split context/token u…
● tk-v7nqry  gc-toolkit   tk-hok6w    12d    —          liveness-sweep exec order owns this standing subject; held on live census visit tk-v7nqry, stal…
● tk-evszjm  gc-toolkit   tk-6d8uo0   12d    —          Should HQ (lx-) beads be converse-engageable? YES: file visits in gc-toolkit rig; NO: refuse HQ…
● tk-10lkzo  gc-toolkit   tk-hfew2l   12d    —          Confirm: does the new demand model retire converse's restart-defensive machinery, or keep it an…
● tk-59uidd  gc-toolkit   tk-0ylqo0   10d    —          recommend close: salvage correctly refused (no WIP anywhere) and work tk-1ig3e1 is re-pooled — …
● tk-04itiz  gc-toolkit   tk-nifg7x   10d    —          Stranded bug tk-8ei4k6 (gc-review /tmp leak): only molecule orphaned pre-worktree, recovery lef…
● tk-kysoj2  gc-toolkit   tk-410luu   10d    —          recommend close: benign salvage-refused telemetry; nothing to salvage (dead slot never reached …
● tk-79s11x  gc-toolkit   tk-ob7npn   10d    —          visit: tk-ob7npn — 13 workflow-finalize beads (gc.routed_to=gc-toolkit/core.control-dispatcher)…
● tk-gb2tgn  gc-toolkit   tk-nqvm2e   10d    —          visit: tk-nqvm2e — The 'Work beads waiting for merge' deferred reminder has fired 4 times in ~2…
● tk-yzswb8  gc-toolkit   tk-s9fima   10d    —          Reset tk-zvv0n1's signoff cap to land its done branch, then rehome tk-uop3k4 as its duplicate?
● tk-ads9x7  gc-toolkit   tk-0mhde5   10d    —          visit: tk-0mhde5 — resolve the human gate on tk-0mhde5
● tk-yepano  gc-toolkit   tk-hcmc3y   9d     —          Accept engage fix direction (verify+report dead --no-attach spawn; confirm dormant-gascity root…
